customer_id,store_id,first_name,last_name,email,address_id,active,create_date,last_update
1,1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,5,1,2006-02-14T22:04:36Z,2020-02-15T06:59:36Z
2,1,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,6,1,2006-02-14T22:04:36Z,2020-02-15T06:59:36Z
3,1,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,7,1,2006-02-14T22:04:36Z,2020-02-15T06:59:36Z
4,2,BARBARA,JONES,BARBARA.JONES@sakilacustomer.org,8,1,2006-02-14T22:04:36Z,2020-02-15T06:59:36Z
5,1,ELIZABETH,BROWN,ELIZABETH.BROWN@sakilacustomer.org,9,1,2006-02-14T22:04:36Z,2020-02-15T06:59:36Z
6,2,JENNIFER,DAVIS,JENNIFER.DAVIS@sakilacustomer.org,10,1,2006-02-14T22:04:36Z,2020-02-15T06:59:36Z
7,1,MARIA,MILLER,MARIA.MILLER@sakilacustomer.org,11,1,2006-02-14T22:04:36Z,2020-02-15T06:59:36Z
8,2,SUSAN,WILSON,SUSAN.WILSON@sakilacustomer.org,12,1,2006-02-14T22:04:36Z,2020-02-15T06:59:36Z
9,2,MARGARET,MOORE,MARGARET.MOORE@sakilacustomer.org,13,1,2006-02-14T22:04:36Z,2020-02-15T06:59:36Z
10,1,DOROTHY,TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,14,1,2006-02-14T22:04:36Z,2020-02-15T06:59:36Z
11,2,LISA,ANDERSON,LISA.ANDERSON@sakilacustomer.org,15,1,2006-02-14T22:04:36Z,2020-02-15T06:59:36Z
12,1,NANCY,THOMAS,NANCY.THOMAS@sakilacustomer.org,16,1,2006-02-14T22:04:36Z,2020-02-15T06:59:36Z
13,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,17,1,2006-02-14T22:04:36Z,2020-02-15T06:59:36Z
14,2,BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,18,1,2006-02-14T22:04:36Z,2020-02-15T06:59:36Z
15,1,HELEN,HARRIS,HELEN.HARRIS@sakilacustomer.org,19,1,2006-02-14T22:04:36Z,2020-02-15T06:59:36Z
16,2,SANDRA,MARTIN,SANDRA.MARTIN@sakilacustomer.org,20,0,2006-02-14T22:04:36Z,2020-02-15T06:59:36Z
